File_Number,Count,Percentage
659,2270,100.00%
238,2270,100.00%
688,441,19.43%
864,2270,100.00%
416,2270,100.00%
701,2270,100.00%
360,2270,100.00%
182,2270,100.00%
625,653,28.77%
74,2270,100.00%
991,2270,100.00%
244,399,17.58%
532,2270,100.00%
940,2270,100.00%
295,177,7.80%
153,919,40.48%
818,2270,100.00%
73,2270,100.00%
622,2270,100.00%
185,2270,100.00%
243,928,40.88%
996,2270,100.00%
292,2270,100.00%
947,2270,100.00%
535,284,12.51%
154,2270,100.00%
598,106,4.67%
549,2270,100.00%
128,2270,100.00%
411,2270,100.00%
863,2269,99.96%
706,2270,100.00%
367,1156,50.93%
998,2270,100.00%
949,2270,100.00%
463,2270,100.00%
811,344,15.15%
774,2270,100.00%
315,2270,100.00%
650,2270,100.00%
596,2270,100.00%
231,2270,100.00%
935,2270,100.00%
547,2270,100.00%
126,2270,100.00%
681,2033,89.56%
708,2270,100.00%
369,2270,100.00%
657,2270,100.00%
236,929,40.93%
591,2254,99.30%
540,2270,100.00%
932,2270,100.00%
686,2270,100.00%
121,2270,100.00%
418,2270,100.00%
816,2270,100.00%
464,2270,100.00%
773,2270,100.00%
312,2270,100.00%
742,2270,100.00%
484,2270,100.00%
323,2270,100.00%
827,2270,100.00%
455,2270,100.00%
793,2270,100.00%
571,2270,100.00%
903,2270,100.00%
110,2270,100.00%
37,2270,100.00%
666,2270,100.00%
207,2270,100.00%
429,2270,100.00%
904,2270,100.00%
576,2270,100.00%
117,2270,100.00%
661,2270,100.00%
30,2270,100.00%
200,2270,100.00%
739,736,32.42%
358,2270,100.00%
389,1202,52.95%
978,2270,100.00%
745,2270,100.00%
324,2270,100.00%
483,2270,100.00%
452,979,43.13%
820,2270,100.00%
794,2270,100.00%
578,2270,100.00%
119,2270,100.00%
737,2270,100.00%
883,406,17.89%
356,2270,100.00%
420,2270,100.00%
852,2270,100.00%
387,2270,100.00%
976,2270,100.00%
504,1527,67.27%
165,2270,100.00%
93,2270,100.00%
42,1700,74.89%
613,2270,100.00%
272,2270,100.00%
503,2270,100.00%
971,2270,100.00%
94,2175,95.81%
162,2270,100.00%
614,2270,100.00%
45,2270,100.00%
275,2270,100.00%
829,2270,100.00%
668,2270,100.00%
39,1807,79.60%
209,1007,44.36%
730,1923,84.71%
351,4,0.18%
884,2270,100.00%
380,2270,100.00%
855,2270,100.00%
427,2270,100.00%
240,2270,100.00%
995,1186,52.25%
621,2270,100.00%
186,2270,100.00%
70,2270,100.00%
157,2268,99.91%
291,2270,100.00%
536,2158,95.07%
944,2270,100.00%
318,2270,100.00%
779,2270,100.00%
938,2270,100.00%
860,2270,100.00%
412,1121,49.38%
364,2270,100.00%
705,2270,100.00%
415,2270,100.00%
867,2270,100.00%
363,2270,100.00%
702,2270,100.00%
992,2270,100.00%
247,2270,100.00%
77,2270,100.00%
181,2270,100.00%
626,2270,100.00%
150,2270,100.00%
943,1606,70.75%
531,2270,100.00%
296,2270,100.00%
469,2270,100.00%
235,2270,100.00%
592,2270,100.00%
654,2270,100.00%
685,2270,100.00%
122,2270,100.00%
931,2270,100.00%
543,2152,94.80%
869,2270,100.00%
249,2270,100.00%
628,2270,100.00%
79,2270,100.00%
298,2270,100.00%
467,2270,100.00%
815,172,7.58%
311,2270,100.00%
770,2270,100.00%
188,2270,100.00%
159,2270,100.00%
538,2270,100.00%
812,2270,100.00%
460,2270,100.00%
316,2270,100.00%
777,2270,100.00%
595,2270,100.00%
232,2270,100.00%
653,2270,100.00%
125,2270,100.00%
682,2270,100.00%
544,2243,98.81%
936,333,14.67%
