File_Number,Count,Percentage,Alleles
700,0,0.00,1
361,2270,100.00,1
624,2270,100.00,1
183,2270,100.00,1
75,2270,100.00,1
245,0,0.00,1
990,2270,100.00,1
294,0,0.00,1
533,2270,100.00,1
941,2270,100.00,1
152,0,0.00,1
819,2270,100.00,1
908,0,0.00,1
354,0,0.00,1
881,2270,100.00,1
735,0,0.00,1
385,2270,100.00,1
850,0,0.00,1
422,2270,100.00,1
91,0,0.00,1
167,0,0.00,1
506,0,0.00,1
974,0,0.00,1
270,0,0.00,1
611,0,0.00,1
40,0,0.00,1
328,0,0.00,1
749,0,0.00,1
798,2270,100.00,1
160,0,0.00,1
96,2270,100.00,1
973,0,0.00,1
501,0,0.00,1
277,2270,100.00,1
47,0,0.00,1
616,0,0.00,1
488,0,0.00,1
459,0,0.00,1
886,0,0.00,1
353,1910,84.14,2
732,2270,100.00,1
425,0,0.00,1
857,0,0.00,1
382,0,0.00,1
98,2270,100.00,1
279,0,0.00,1
618,2270,100.00,1
49,2270,100.00,1
321,0,0.00,1
486,0,0.00,1
740,0,0.00,1
791,0,0.00,1
457,2270,100.00,1
825,0,0.00,1
112,0,0.00,1
901,0,0.00,1
573,2270,100.00,1
205,0,0.00,1
664,0,0.00,1
35,0,0.00,1
888,0,0.00,1
859,2270,100.00,1
115,0,0.00,1
574,2270,100.00,1
906,0,0.00,1
202,0,0.00,1
32,0,0.00,1
663,0,0.00,1
169,0,0.00,1
508,2270,100.00,1
481,0,0.00,1
326,2270,100.00,1
747,0,0.00,1
796,0,0.00,1
822,0,0.00,1
450,0,0.00,1
409,2270,100.00,1
923,0,0.00,1
551,2270,100.00,1
130,0,0.00,1
697,0,0.00,1
17,0,0.00,1
646,0,0.00,1
580,0,0.00,1
227,0,0.00,1
762,0,0.00,1
303,0,0.00,1
475,0,0.00,1
807,2270,100.00,1
9,2270,100.00,1
765,2270,100.00,1
304,2270,100.00,1
800,0,0.00,1
472,2270,100.00,1
958,0,0.00,1
989,2270,100.00,1
719,0,0.00,1
378,0,0.00,1
556,2270,100.00,1
924,0,0.00,1
690,2270,100.00,1
137,0,0.00,1
641,2270,100.00,1
10,2270,100.00,1
220,0,0.00,1
587,0,0.00,1
524,2270,100.00,1
956,0,0.00,1
283,0,0.00,1
